index,doc_a,doc_b,label,type,TF-IDF,Section Cosine
63,SP26SE019,SU26SE079,0,Type_B,0.13857527782882828,0.24372677035757526
64,SU26SE169,SP26SE069,0,Type_B,0.13698681046593209,0.03362320911411212
65,SP26SE042,SP26SE159,0,Type_B,0.1453043001626631,0.5169004583779365
66,SP26SE102,SU26SE039,0,Type_B,0.09395936589380764,0.039146223821619204
67,SP26SE065,SP26SE120,0,Type_B,0.09991616585217454,0.4997297365501613
68,SP26SE120,SP26SE123,0,Type_B,0.062054754399694934,0.48872108330711783
69,SP26SE052,SP26SE078,0,Type_B,0.06049546366181523,0.48382430128568704
70,SP26SE087,SP26SE102,0,Type_B,0.08486517495186646,0.505253342104415
71,SP26SE054,SP26SE099,0,Type_B,0.061808774511639006,0.4952439416375202
72,SP26SE039,SU26SE165,0,Type_B,0.07704698731709521,0.030764543571342562
73,SP26SE110,SP26SE103,0,Type_B,0.1631118907497132,0.5347817752695805
74,SU26SE168,SU26SE019,0,Type_B,0.14851236650274613,0.08734610555907209
75,SU26SE029,SU26SE087,0,Type_B,0.13073330913479603,0.10970287440404701
76,SU26SE070,SP26SE069,0,Type_B,0.10748314283859556,0.019790872410372907
77,SP26SE134,SU26SE169,0,Type_B,0.10980077091527647,0.036132727238736
78,SP26SE055,SP26SE128,0,Type_B,0.1442803169578814,0.5230942949337708
79,SU26SE094,SP26SE157,0,Type_B,0.18782832814558897,0.05814259056047479
80,SU26SE166,SU26SE082,0,Type_B,0.1161183165340964,0.05976924949125738
81,SP26SE087,SP26SE052,0,Type_B,0.07164359288932844,0.5001769515797628
82,SP26SE128,SU26SE079,0,Type_B,0.14145070316100133,0.24502794905614708
83,SP26SE088,SP26SE134,0,Type_B,0.061587452103534404,0.46754034107266296
84,SU26SE087,SP26SE001,0,Type_B,0.06753371221537968,0.043405062149155835
85,SU26SE061,SU26SE021,0,Type_B,0.1493048261350049,0.0798833212551024
86,SP26SE162,SP26SE086,0,Type_B,0.09782451679096979,0.5081304151661257
87,SP26SE061,SP26SE049,0,Type_B,0.18846113305264678,0.5362945918213718
88,SP26SE122,SP26SE055,0,Type_C,0.11903112022312225,0.5207814169065365
89,SP26SE038,SU26SE109,0,Type_C,0.15738470880551414,0.06809283177445254
90,SP26SE123,SU26SE063,0,Type_C,0.06727452056928841,0.021796694058686686
91,SP26SE038,SU26SE023,0,Type_C,0.08482474872639531,0.046138590656639826
92,SP26SE098,SU26SE116,0,Type_C,0.14478718600593296,0.5092958373470822
93,SU26SE022,SP26SE161,0,Type_C,0.16421746407628812,0.05648531671222761
94,SU26SE045,SP26SE024,0,Type_C,0.11495853031026823,0.038081964228671605
95,SP26SE161,SP26SE078,0,Type_C,0.062149191039371554,0.48080579925238687
96,SU26SE104,SP26SE048,0,Type_C,0.08647701534104447,0.03432327037875631
97,SU26SE021,SP26SE026,0,Type_C,0.12102495711347565,0.03411182447795243
98,SP26SE078,SP26SE011,0,Type_C,0.06193514988651752,0.4735286594011008
99,SU26SE087,SP26SE087,0,Type_C,0.09273109708145207,0.023897639423391518
100,SP26SE110,SU26SE091,0,Type_C,0.14371979745254296,0.05850573171151385
101,SU26SE026,SP26SE029,0,Type_C,0.07898461479792397,0.03571710616867536
102,SP26SE058,SU26SE043,0,Type_C,0.10196818414655939,0.04443487570653268
103,SP26SE012,SP26SE058,0,Type_C,0.08179924567574261,0.5002971577201688
104,SP26SE087,SU26SE166,0,Type_C,0.09939446860633513,0.028970048904697076
105,SP26SE104,SU26SE032,0,Type_C,0.09762093698373471,0.0322664410378064
106,SU27SE153,SU26SE030,0,Type_C,0.12508078222028757,0.04779725929401052
107,SP26SE068,SU26SE063,0,Type_C,0.15015038888590365,0.03884373549223865
108,SP26SE018,SU26SE048,0,Type_C,0.0971413471794934,0.03269100749115785
109,SP26SE162,SP26SE052,0,Type_C,0.08165654589712301,0.4998391317536652
110,SU26SE044,SU26SE031,0,Type_C,0.1561710952123451,0.09676209194559666
111,SP26SE149,SP26SE024,0,Type_C,0.07929713162333646,0.4751537537531973
112,SP26SE107,SU26SE019,0,Type_C,0.10136685117403368,0.046780703299299016
113,SP26SE128,SU26SE074,0,Type_C,0.1960046722495483,0.2517574739371241
114,SU26SE029,SU26SE021,0,Type_C,0.1407104795715018,0.09736553096668583
115,SP26SE129,SP26SE078,0,Type_C,0.06885671694247514,0.4878396938013855
116,SP26SE056,SP26SE078,0,Type_C,0.08702763191917261,0.4928398380253119
117,SP26SE051,SP26SE070,0,Type_C,0.12153141110439694,0.5078502704867414
118,SU26SE005,SP26SE158,0,Type_C,0.0759177424032277,0.04355534504798591
119,SP26SE001,SU26SE022,0,Type_C,0.09261818938678429,0.03257322084300542
120,SP26SE034,SU26SE079,0,Type_C,0.08675139656038845,0.24288341461270443
121,SP26SE056,SU26SE063,0,Type_C,0.10442825525942484,0.03370469002335202
122,SP26SE033,SP26SE078,0,Type_C,0.08087793477363518,0.48361515039679165
123,SU26SE064,SU26SE018,0,Type_C,0.22775975407264853,0.12330335936338306
