index,doc_a,doc_b,label,type,SBERT_MiniLM,BGE_Small_v1.5,MPNet_Base_v2
61,SP26SE119,SU26SE067,0,Type_B,0.4794091582298279,0.7036064863204956,0.530164897441864
62,SU26SE015,SP26SE024,0,Type_B,0.3581143617630005,0.6538020372390747,0.3324498236179352
63,SP26SE019,SU26SE079,0,Type_B,0.3311554193496704,0.656336784362793,0.3331872820854187
64,SU26SE169,SP26SE069,0,Type_B,0.5920544862747192,0.7305800318717957,0.6286590695381165
65,SP26SE042,SP26SE159,0,Type_B,0.3100886642932892,0.6190121173858643,0.4615218937397003
66,SP26SE102,SU26SE039,0,Type_B,0.12487222254276276,0.5670483112335205,0.2193973809480667
67,SP26SE065,SP26SE120,0,Type_B,0.32700762152671814,0.6305015087127686,0.31029456853866577
68,SP26SE120,SP26SE123,0,Type_B,0.2899289131164551,0.6452523469924927,0.29967328906059265
69,SP26SE052,SP26SE078,0,Type_B,0.2730717957019806,0.6157029867172241,0.2810928523540497
70,SP26SE087,SP26SE102,0,Type_B,0.3216634690761566,0.6465237736701965,0.4188239872455597
71,SP26SE054,SP26SE099,0,Type_B,0.21350279450416565,0.6406983733177185,0.2119591236114502
72,SP26SE039,SU26SE165,0,Type_B,0.1494026631116867,0.5773450136184692,0.25709205865859985
73,SP26SE110,SP26SE103,0,Type_B,0.280164897441864,0.6829933524131775,0.328801691532135
74,SU26SE168,SU26SE019,0,Type_B,0.31605780124664307,0.6331624984741211,0.3846466839313507
75,SU26SE029,SU26SE087,0,Type_B,0.35157644748687744,0.661029040813446,0.36473381519317627
76,SU26SE070,SP26SE069,0,Type_B,0.2412225902080536,0.5692024230957031,0.27602264285087585
77,SP26SE134,SU26SE169,0,Type_B,0.35931631922721863,0.7123935222625732,0.36545008420944214
78,SP26SE055,SP26SE128,0,Type_B,0.27868956327438354,0.6141475439071655,0.22651328146457672
79,SU26SE094,SP26SE157,0,Type_B,0.5030040740966797,0.7401633262634277,0.4541108310222626
80,SU26SE166,SU26SE082,0,Type_B,0.17835330963134766,0.6481401920318604,0.295762836933136
81,SP26SE087,SP26SE052,0,Type_B,0.3261759877204895,0.5994304418563843,0.2838485836982727
82,SP26SE128,SU26SE079,0,Type_B,0.2674495279788971,0.6372487545013428,0.22555696964263916
83,SP26SE088,SP26SE134,0,Type_B,0.23234570026397705,0.5695652365684509,0.18169377744197845
84,SU26SE087,SP26SE001,0,Type_B,0.5151844620704651,0.7650423049926758,0.6619883179664612
85,SU26SE061,SU26SE021,0,Type_B,0.10764624178409576,0.5392165184020996,0.1820090413093567
86,SP26SE162,SP26SE086,0,Type_B,0.3541601896286011,0.7142964601516724,0.32097840309143066
87,SP26SE061,SP26SE049,0,Type_B,0.2830250859260559,0.6345847249031067,0.29208889603614807
88,SP26SE122,SP26SE055,0,Type_C,0.3229586184024811,0.6939977407455444,0.37227916717529297
89,SP26SE038,SU26SE109,0,Type_C,0.3506404161453247,0.6727878451347351,0.4625697433948517
90,SP26SE123,SU26SE063,0,Type_C,0.22379454970359802,0.6343756318092346,0.3241102993488312
91,SP26SE038,SU26SE023,0,Type_C,0.15859355032444,0.5641325116157532,0.1648460328578949
92,SP26SE098,SU26SE116,0,Type_C,0.30043211579322815,0.6262925267219543,0.29421931505203247
93,SU26SE022,SP26SE161,0,Type_C,0.33236637711524963,0.663534939289093,0.3489670157432556
94,SU26SE045,SP26SE024,0,Type_C,0.2962146997451782,0.6840482354164124,0.3803938329219818
95,SP26SE161,SP26SE078,0,Type_C,0.19007083773612976,0.5266056060791016,0.18739092350006104
96,SU26SE104,SP26SE048,0,Type_C,0.19565458595752716,0.5629827976226807,0.24083761870861053
97,SU26SE021,SP26SE026,0,Type_C,0.3461593687534332,0.6520429849624634,0.27237874269485474
98,SP26SE078,SP26SE011,0,Type_C,0.1781505048274994,0.5728865265846252,0.11807318776845932
99,SU26SE087,SP26SE087,0,Type_C,0.33823102712631226,0.6548142433166504,0.4498001039028168
100,SP26SE110,SU26SE091,0,Type_C,0.1416747123003006,0.596492350101471,0.18330734968185425
101,SU26SE026,SP26SE029,0,Type_C,0.1409076750278473,0.6206910014152527,0.13875195384025574
102,SP26SE058,SU26SE043,0,Type_C,0.2869357168674469,0.6089285612106323,0.18566660583019257
103,SP26SE012,SP26SE058,0,Type_C,0.4272899031639099,0.6285877823829651,0.35986313223838806
104,SP26SE087,SU26SE166,0,Type_C,0.46191835403442383,0.6595464944839478,0.4421686828136444
105,SP26SE104,SU26SE032,0,Type_C,0.3748107850551605,0.6413576006889343,0.3594188094139099
106,SU27SE153,SU26SE030,0,Type_C,0.376884400844574,0.722470760345459,0.3970383107662201
107,SP26SE068,SU26SE063,0,Type_C,0.5978018045425415,0.7250048518180847,0.6367183327674866
108,SP26SE018,SU26SE048,0,Type_C,0.4061022102832794,0.6923623085021973,0.3601752817630768
109,SP26SE162,SP26SE052,0,Type_C,0.39010998606681824,0.683646559715271,0.490206241607666
110,SU26SE044,SU26SE031,0,Type_C,0.2896534204483032,0.6757734417915344,0.39192429184913635
111,SP26SE149,SP26SE024,0,Type_C,0.3440215289592743,0.6340911984443665,0.3441747725009918
112,SP26SE107,SU26SE019,0,Type_C,0.2928082048892975,0.6150578856468201,0.2671299874782562
113,SP26SE128,SU26SE074,0,Type_C,0.32692012190818787,0.6849082708358765,0.3195854127407074
114,SU26SE029,SU26SE021,0,Type_C,0.2862982153892517,0.652826189994812,0.3584688603878021
115,SP26SE129,SP26SE078,0,Type_C,0.3883356750011444,0.635755717754364,0.32109320163726807
116,SP26SE056,SP26SE078,0,Type_C,0.2218369096517563,0.6140804290771484,0.2771680951118469
117,SP26SE051,SP26SE070,0,Type_C,0.29845350980758667,0.6194337606430054,0.288753867149353
118,SU26SE005,SP26SE158,0,Type_C,0.3049298822879791,0.5852827429771423,0.25591105222702026
119,SP26SE001,SU26SE022,0,Type_C,0.21447406709194183,0.6494585871696472,0.30129244923591614
