index,doc_a,doc_b,label,type,TF-IDF,Standard TED,pq-Gram,Section Cosine,Genuine Flat Domain SBERT
112,SP26SE107,SU26SE019,0,Type_C,0.10337415137575608,0.5755813953488372,0.0,0.044983751503742675,1.0
113,SP26SE128,SU26SE074,0,Type_C,0.17591638167595927,0.506578947368421,0.0,0.24851039523106508,1.0
114,SU26SE029,SU26SE021,0,Type_C,0.13717479662351723,0.5460122699386503,0.0,0.08833692766326054,1.0
115,SP26SE129,SP26SE078,0,Type_C,0.06239288066099265,0.5755813953488372,0.0,0.4847035018609989,1.0
116,SP26SE056,SP26SE078,0,Type_C,0.08643128288374158,0.5755813953488372,0.0,0.49318841456660056,1.0
117,SP26SE051,SP26SE070,0,Type_C,0.09577613586694744,0.5310344827586206,0.0,0.49800569193953376,1.0
118,SU26SE005,SP26SE158,0,Type_C,0.06757092520405855,0.5730994152046784,0.0,0.03278653190671463,1.0
119,SP26SE001,SU26SE022,0,Type_C,0.0910806597950893,0.5755813953488372,0.0,0.031760402370491755,1.0
120,SP26SE034,SU26SE079,0,Type_C,0.08554353353567076,0.5,0.0,0.2424683478751436,1.0
121,SP26SE056,SU26SE063,0,Type_C,0.10067869830860407,0.5755813953488372,0.0,0.03242408001511785,1.0
122,SP26SE033,SP26SE078,0,Type_C,0.07422962864917192,0.5813953488372092,0.0027100271002710027,0.4821700046117569,1.0
123,SU26SE064,SU26SE018,0,Type_C,0.21077634800271777,0.5755813953488372,0.0,0.10287985606361143,1.0
124,SP26SE010,SU26SE031,0,Type_C,0.10266270134103682,0.5755813953488372,0.0,0.0373621816700295,1.0
125,SU26SE015,SP26SE044,0,Type_C,0.07342153312761371,0.5730994152046784,0.0,0.024171519260043836,1.0
